Iter	 Iter_time	 Master	 Subprob	 Full_Test	 argmax	Iter_acc	 Master_acc	 Subprob_acc	 Full_Test_acc	 argmax_acc
93	 0.004328	 0.004248	 0.000031	 0.000000	 0.000026	0.420085	 0.410613	 0.004274	 0.000000	 0.002657
94	 0.004781	 0.004648	 0.000070	 0.000000	 0.000034	0.424866	 0.415261	 0.004344	 0.000000	 0.002691
95	 0.004412	 0.004320	 0.000037	 0.000000	 0.000018	0.429278	 0.419581	 0.004381	 0.000000	 0.002709
96	 0.004529	 0.004458	 0.000029	 0.000000	 0.000018	0.433807	 0.424039	 0.004410	 0.000000	 0.002727
97	 0.004459	 0.004319	 0.000064	 0.000000	 0.000035	0.438266	 0.428358	 0.004474	 0.000000	 0.002762
98	 0.004067	 0.003986	 0.000037	 0.000000	 0.000020	0.442333	 0.432344	 0.004511	 0.000000	 0.002782
99	 0.004505	 0.004383	 0.000047	 0.000000	 0.000037	0.446838	 0.436727	 0.004558	 0.000000	 0.002819
100	 0.004658	 0.004573	 0.000025	 0.000000	 0.000027	0.451496	 0.441300	 0.004583	 0.000000	 0.002846
101	 0.004403	 0.004324	 0.000028	 0.000000	 0.000027	0.455899	 0.445624	 0.004611	 0.000000	 0.002873
102	 0.004250	 0.004131	 0.000048	 0.000000	 0.000044	0.460149	 0.449755	 0.004659	 0.000000	 0.002917
103	 0.004188	 0.004119	 0.000025	 0.000000	 0.000020	0.464337	 0.453874	 0.004684	 0.000000	 0.002937
104	 0.004728	 0.004608	 0.000051	 0.000000	 0.000044	0.469065	 0.458482	 0.004735	 0.000000	 0.002981
105	 0.004776	 0.004708	 0.000027	 0.000000	 0.000021	0.473841	 0.463190	 0.004762	 0.000000	 0.003002
106	 0.004115	 0.003997	 0.000047	 0.000000	 0.000042	0.477956	 0.467187	 0.004809	 0.000000	 0.003044
107	 0.004127	 0.004062	 0.000026	 0.000000	 0.000020	0.482083	 0.471249	 0.004835	 0.000000	 0.003064
108	 0.004877	 0.004757	 0.000047	 0.000000	 0.000047	0.486960	 0.476006	 0.004882	 0.000000	 0.003111
109	 0.003868	 0.003797	 0.000026	 0.000000	 0.000021	0.490828	 0.479803	 0.004908	 0.000000	 0.003132
110	 0.004131	 0.004016	 0.000044	 0.000000	 0.000043	0.494959	 0.483819	 0.004952	 0.000000	 0.003175
111	 0.004283	 0.004218	 0.000024	 0.000000	 0.000019	0.499242	 0.488037	 0.004976	 0.000000	 0.003194
112	 0.004055	 0.003936	 0.000048	 0.000000	 0.000043	0.503297	 0.491973	 0.005024	 0.000000	 0.003237
113	 0.004241	 0.004171	 0.000027	 0.000000	 0.000019	0.507538	 0.496144	 0.005051	 0.000000	 0.003256
114	 0.004040	 0.003917	 0.000051	 0.000000	 0.000043	0.511578	 0.500061	 0.005102	 0.000000	 0.003299
115	 0.004135	 0.004050	 0.000048	 0.000000	 0.000018	0.515713	 0.504111	 0.005150	 0.000000	 0.003317
116	 0.004220	 0.004097	 0.000058	 0.000000	 0.000037	0.519933	 0.508208	 0.005208	 0.000000	 0.003354
117	 0.003780	 0.003699	 0.000026	 0.000000	 0.000019	0.523713	 0.511907	 0.005234	 0.000000	 0.003373
118	 0.004097	 0.004030	 0.000027	 0.000000	 0.000020	0.527810	 0.515937	 0.005261	 0.000000	 0.003393
119	 0.004395	 0.004288	 0.000046	 0.000000	 0.000035	0.532205	 0.520225	 0.005307	 0.000000	 0.003428
120	 0.004602	 0.004525	 0.000026	 0.000000	 0.000028	0.536807	 0.524750	 0.005333	 0.000000	 0.003456
121	 0.004455	 0.004312	 0.000063	 0.000000	 0.000040	0.541262	 0.529062	 0.005396	 0.000000	 0.003496
122	 0.004349	 0.004264	 0.000038	 0.000000	 0.000027	0.545611	 0.533326	 0.005434	 0.000000	 0.003523
123	 0.004364	 0.004242	 0.000051	 0.000000	 0.000047	0.549975	 0.537568	 0.005485	 0.000000	 0.003570
124	 0.004157	 0.004083	 0.000028	 0.000000	 0.000028	0.554132	 0.541651	 0.005513	 0.000000	 0.003598
125	 0.003984	 0.003866	 0.000049	 0.000000	 0.000044	0.558116	 0.545517	 0.005562	 0.000000	 0.003642
126	 0.003878	 0.003811	 0.000027	 0.000000	 0.000020	0.561994	 0.549328	 0.005589	 0.000000	 0.003662
127	 0.003840	 0.003717	 0.000050	 0.000000	 0.000048	0.565834	 0.553045	 0.005639	 0.000000	 0.003710
128	 0.003988	 0.003916	 0.000026	 0.000000	 0.000025	0.569822	 0.556961	 0.005665	 0.000000	 0.003735
129	 0.004129	 0.004010	 0.000047	 0.000000	 0.000046	0.573951	 0.560971	 0.005712	 0.000000	 0.003781
130	 0.004339	 0.004253	 0.000039	 0.000000	 0.000027	0.578290	 0.565224	 0.005751	 0.000000	 0.003808
131	 0.004556	 0.004423	 0.000059	 0.000000	 0.000046	0.582846	 0.569647	 0.005810	 0.000000	 0.003854
132	 0.004663	 0.004587	 0.000025	 0.000000	 0.000018	0.587509	 0.574234	 0.005835	 0.000000	 0.003872
133	 0.004226	 0.004147	 0.000026	 0.000000	 0.000020	0.591735	 0.578381	 0.005861	 0.000000	 0.003892
134	 0.004067	 0.003989	 0.000026	 0.000000	 0.000028	0.595802	 0.582370	 0.005887	 0.000000	 0.003920
135	 0.003763	 0.003644	 0.000046	 0.000000	 0.000046	0.599565	 0.586014	 0.005933	 0.000000	 0.003966
136	 0.003873	 0.003806	 0.000026	 0.000000	 0.000019	0.603438	 0.589820	 0.005959	 0.000000	 0.003985
137	 0.004170	 0.004060	 0.000047	 0.000000	 0.000038	0.607608	 0.593880	 0.006006	 0.000000	 0.004023
138	 0.004171	 0.004079	 0.000039	 0.000000	 0.000021	0.611779	 0.597959	 0.006045	 0.000000	 0.004044
