Iter 	incumb_est 	candid_est 	error
220 	-218.062468 	-220.446073 	-0.010931
221 	-220.333433 	-221.383970 	-0.004768
222 	-217.225667 	-219.379293 	-0.009914
223 	-219.594063 	-219.755248 	-0.000734
224 	-219.669258 	-220.380990 	-0.003240
225 	-217.635069 	-219.460536 	-0.008388
226 	-216.184039 	-219.390193 	-0.014831
227 	-218.183783 	-218.543602 	-0.001649
228 	-218.375511 	-219.811619 	-0.006576
229 	-220.597491 	-220.924020 	-0.001480
230 	-220.461461 	-221.063472 	-0.002731
231 	-220.984392 	-222.443055 	-0.006601
232 	-220.168630 	-220.934012 	-0.003476
233 	-219.101948 	-221.752947 	-0.012099
234 	-217.044549 	-219.214137 	-0.009996
235 	-217.509493 	-219.263987 	-0.008066
236 	-216.902890 	-221.218253 	-0.019895
237 	-218.612808 	-219.530525 	-0.004198
238 	-216.241257 	-220.054771 	-0.017635
239 	-216.041878 	-217.175156 	-0.005246
240 	-217.211994 	-219.094516 	-0.008667
241 	-218.373630 	-219.763370 	-0.006364
242 	-218.994460 	-219.650345 	-0.002995
243 	-219.700292 	-221.147383 	-0.006587
244 	-221.598434 	-222.420561 	-0.003710
245 	-220.006209 	-221.489096 	-0.006740
246 	-219.299746 	-222.643732 	-0.015248
247 	-221.436608 	-223.510675 	-0.009366
248 	-220.576718 	-221.822545 	-0.005648
249 	-219.553187 	-221.965850 	-0.010989
250 	-220.326336 	-223.599687 	-0.014857
251 	-219.511887 	-221.548406 	-0.009277
252 	-218.015158 	-222.083627 	-0.018661
253 	-218.281009 	-220.782201 	-0.011459
254 	-214.888866 	-218.160319 	-0.015224
255 	-216.990203 	-218.327921 	-0.006165
256 	-216.337471 	-216.413917 	-0.000353
257 	-216.794061 	-217.041937 	-0.001143
258 	-215.632557 	-218.738881 	-0.014406
259 	-215.901282 	-216.803173 	-0.004177
260 	-215.968284 	-217.977515 	-0.009303
261 	-216.951961 	-217.179615 	-0.001049
