Iter 	incumb_est 	candid_est 	error
196 	-40.739460 	-40.739479 	-0.000000
197 	-40.728692 	-40.728716 	-0.000001
198 	-40.767568 	-40.767657 	-0.000002
199 	-40.755229 	-40.755308 	-0.000002
200 	-40.724237 	-40.724239 	-0.000000
201 	-40.762687 	-40.762848 	-0.000004
202 	-40.797318 	-40.797465 	-0.000004
203 	-40.835521 	-40.836196 	-0.000017
204 	-40.837999 	-40.838010 	-0.000000
205 	-40.834948 	-40.835561 	-0.000015
206 	-40.837405 	-40.837423 	-0.000000
207 	-40.836128 	-40.836683 	-0.000014
208 	-40.873821 	-40.873901 	-0.000002
209 	-40.879315 	-40.879316 	-0.000000
210 	-40.859988 	-40.860050 	-0.000002
211 	-40.879684 	-40.879687 	-0.000000
212 	-40.845051 	-40.845056 	-0.000000
213 	-40.850225 	-40.850232 	-0.000000
214 	-40.886350 	-40.887166 	-0.000020
215 	-40.883550 	-40.883649 	-0.000002
216 	-40.866119 	-40.866208 	-0.000002
217 	-40.827833 	-40.829131 	-0.000032
218 	-40.815254 	-40.815255 	-0.000000
219 	-40.825666 	-40.825667 	-0.000000
220 	-40.810696 	-40.810698 	-0.000000
221 	-40.787423 	-40.787537 	-0.000003
222 	-40.780074 	-40.780308 	-0.000006
223 	-40.756944 	-40.757353 	-0.000010
224 	-40.731127 	-40.731137 	-0.000000
225 	-40.726972 	-40.727848 	-0.000022
226 	-40.727645 	-40.727661 	-0.000000
227 	-40.716439 	-40.717352 	-0.000022
228 	-40.698438 	-40.698461 	-0.000001
229 	-40.684640 	-40.684667 	-0.000001
230 	-40.690431 	-40.690463 	-0.000001
231 	-40.650339 	-40.650550 	-0.000005
232 	-40.669978 	-40.670199 	-0.000005
233 	-40.698378 	-40.698610 	-0.000006
234 	-40.659344 	-40.659587 	-0.000006
235 	-40.669988 	-40.670243 	-0.000006
236 	-40.653075 	-40.653340 	-0.000007
237 	-40.644819 	-40.645096 	-0.000007
238 	-40.653552 	-40.653841 	-0.000007
239 	-40.655247 	-40.655548 	-0.000007
240 	-40.654082 	-40.654394 	-0.000008
241 	-40.668618 	-40.668942 	-0.000008
242 	-40.656063 	-40.656097 	-0.000001
243 	-40.674487 	-40.674836 	-0.000009
244 	-40.671926 	-40.671951 	-0.000001
245 	-40.663155 	-40.663529 	-0.000009
246 	-40.651144 	-40.651162 	-0.000000
247 	-40.673184 	-40.673583 	-0.000010
248 	-40.659277 	-40.659288 	-0.000000
249 	-40.667165 	-40.667590 	-0.000010
250 	-40.664696 	-40.664702 	-0.000000
251 	-40.662980 	-40.663432 	-0.000011
252 	-40.684328 	-40.684331 	-0.000000
253 	-40.705195 	-40.705673 	-0.000012
